subject ID,list,trial_number,trial_object,trial_modifier,intonation,modifier_type,probe_type,response
30379,A,37,novel,fiction,declarative,–grad–subj,approve,2
30379,A,38,novel,fiction,declarative,–grad–subj,mean,2
30379,A,39,novel,fiction,declarative,–grad–subj,nice,3
30379,A,40,video,tiktok,sarcastic,–grad–subj,approve,2
30379,A,41,video,tiktok,sarcastic,–grad–subj,mean,2
30379,A,42,video,tiktok,sarcastic,–grad–subj,nice,3
28267,A,1,book,n/a,declarative,training1 neg,approve,1
28267,A,2,book,n/a,declarative,training1 neg,mean,2
28267,A,3,book,n/a,declarative,training1 neg,nice,3
28267,A,4,recital,n/a,declarative,training2 pos,approve,2
28267,A,5,recital,n/a,declarative,training2 pos,mean,2
28267,A,6,recital,n/a,declarative,training2 pos,nice,2
28267,A,7,cake,yummy,declarative,grad+subj+pos,approve,1
28267,A,8,cake,yummy,declarative,grad+subj+pos,mean,1
28267,A,9,cake,yummy,declarative,grad+subj+pos,nice,4
28267,A,10,gift,awesome,sarcastic,grad+subj+pos,approve,1
28267,A,11,gift,awesome,sarcastic,grad+subj+pos,mean,2
28267,A,12,gift,awesome,sarcastic,grad+subj+pos,nice,2
28267,A,13,bouquet,messy,declarative,grad+subj+neg,approve,1
28267,A,14,bouquet,messy,declarative,grad+subj+neg,mean,2
28267,A,15,bouquet,messy,declarative,grad+subj+neg,nice,1
28267,A,16,question,silly,sarcastic,grad+subj+neg,approve,1
28267,A,17,question,silly,sarcastic,grad+subj+neg,mean,2
28267,A,18,question,silly,sarcastic,grad+subj+neg,nice,2
28267,A,19,dish,lobster,declarative,–grad–subj,approve,1
28267,A,20,dish,lobster,declarative,–grad–subj,mean,2
28267,A,21,dish,lobster,declarative,–grad–subj,nice,3
28267,A,22,shirt,spotted,sarcastic,–grad–subj,approve,2
28267,A,23,shirt,spotted,sarcastic,–grad–subj,mean,2
28267,A,24,shirt,spotted,sarcastic,–grad–subj,nice,3
28267,A,25,story,funny,declarative,grad+subj+pos,approve,1
28267,A,26,story,funny,declarative,grad+subj+pos,mean,2
28267,A,27,story,funny,declarative,grad+subj+pos,nice,4
28267,A,28,tool,useful,sarcastic,grad+subj+pos,approve,2
28267,A,29,tool,useful,sarcastic,grad+subj+pos,mean,2
28267,A,30,tool,useful,sarcastic,grad+subj+pos,nice,5
28267,A,31,hole,careless,declarative,grad+subj+neg,approve,1
28267,A,32,hole,careless,declarative,grad+subj+neg,mean,2
28267,A,33,hole,careless,declarative,grad+subj+neg,nice,2
28267,A,34,solution,bossy,sarcastic,grad+subj+neg,approve,1
28267,A,35,solution,bossy,sarcastic,grad+subj+neg,mean,2
28267,A,36,solution,bossy,sarcastic,grad+subj+neg,nice,1
28267,A,37,novel,fiction,declarative,–grad–subj,approve,1
28267,A,38,novel,fiction,declarative,–grad–subj,mean,2
28267,A,39,novel,fiction,declarative,–grad–subj,nice,2
28267,A,40,video,tiktok,sarcastic,–grad–subj,approve,1
28267,A,41,video,tiktok,sarcastic,–grad–subj,mean,2
28267,A,42,video,tiktok,sarcastic,–grad–subj,nice,2
26122,A,1,book,n/a,declarative,training1 neg,approve,1
26122,A,2,book,n/a,declarative,training1 neg,mean,2
26122,A,3,book,n/a,declarative,training1 neg,nice,3
26122,A,4,recital,n/a,declarative,training2 pos,approve,2
26122,A,5,recital,n/a,declarative,training2 pos,mean,2
26122,A,6,recital,n/a,declarative,training2 pos,nice,2
26122,A,7,cake,yummy,declarative,grad+subj+pos,approve,2
26122,A,8,cake,yummy,declarative,grad+subj+pos,mean,1
26122,A,9,cake,yummy,declarative,grad+subj+pos,nice,5
26122,A,10,gift,awesome,sarcastic,grad+subj+pos,approve,2
26122,A,11,gift,awesome,sarcastic,grad+subj+pos,mean,1
26122,A,12,gift,awesome,sarcastic,grad+subj+pos,nice,5
26122,A,13,bouquet,messy,declarative,grad+subj+neg,approve,1
26122,A,14,bouquet,messy,declarative,grad+subj+neg,mean,2
26122,A,15,bouquet,messy,declarative,grad+subj+neg,nice,2
26122,A,16,question,silly,sarcastic,grad+subj+neg,approve,1
